UserID,LengthOfScreenName,LengthOfDescriptionInUserProfile,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,Longevity,FollowRatio,TweetsPerDay,LinkAverage,UniqueLinkAverage,MentionAverage,UniqueMentionAverage,Compression_Ratio,FollowingChangeRate,label,Similarity
614,10,34,510,350,3265,1226,1.457142857142857,2.663132137030995,0.31,0.015,0.59,0.31,2.744421906693712,0.3679282253909059,0,0.0578737969947872
1038,7,156,304,443,4405,1219,0.6862302483069977,3.613617719442166,0.275,0.1,0.805,0.46,2.5160680529300565,0.2803615881095986,0,0.018286719273223
1437,6,37,45,73,725,1219,0.6164383561643836,0.5947497949138638,0.095,0.02,0.65,0.205,2.455719557195572,0.1321637200910179,0,0.0196799278489813
2615,7,0,211,230,211,1226,0.917391304347826,0.1721044045676998,0.135,0.085,0.38,0.215,2.630434782608696,0.2382615347721177,0,0.0208466691338712
3148,8,97,7346,7244,11438,1213,1.0140806184428492,9.429513602638089,0.5879396984924623,0.0351758793969849,0.7286432160804021,0.4874371859296482,2.635643564356436,0.3369526938665577,0,0.0202109308254212
5593,8,56,898,1024,2897,1172,0.876953125,2.4718430034129693,0.3618090452261306,0.0603015075376884,0.4371859296482412,0.2613065326633166,2.75,0.2559339434426655,0,0.0169261015058309
9375,9,11,53,131,566,1126,0.4045801526717557,0.5026642984014209,0.315,0.09,0.58,0.15,3.152631578947368,0.0660818600455089,0,0.0107179908285776
10336,6,0,754,4103,6181,1120,0.1837679746526931,5.51875,0.27,0.045,1.07,0.62,2.716867469879518,0.2289142781149546,0,0.0221498189044917
10455,9,15,140,222,1192,1116,0.6306306306306306,1.0681003584229392,0.0769230769230769,0.0219780219780219,0.5879120879120879,0.3626373626373626,2.711422845691383,0.50326445252005,0,0.0250729061003123
10698,8,63,140,1329,17457,1116,0.1053423626787058,15.64247311827957,0.285,0.055,0.57,0.295,2.169296987087518,0.2382615347721177,0,0.0123106139218333
11718,11,31,254,3639,8245,1112,0.0697993954383072,7.414568345323741,0.425,0.165,0.935,0.57,2.543233082706767,0.1321637200910179,0,0.039904926355662
12527,12,49,108,92,815,1108,1.173913043478261,0.7355595667870036,0.0677083333333333,0.03125,0.5364583333333334,0.1510416666666666,2.596928982725528,0.3558617071070626,0,0.0256553507810653
13602,6,28,145,395,7468,1103,0.3670886075949367,6.770625566636446,0.325,0.09,0.91,0.42,2.4825688073394496,0.1477635311413854,0,0.0245398854872456
15313,9,20,189,1665,3180,1087,0.1135135135135135,2.9254829806807727,0.245,0.105,0.305,0.215,2.454873646209386,0.1144571390574773,0,0.0367293229153097
16683,8,75,70,322,4458,1086,0.217391304347826,4.104972375690608,0.325,0.055,0.36,0.175,2.4762773722627736,0.1982455801365269,0,0.0258587698580732
17363,10,128,277,868,4693,1090,0.3191244239631336,4.305504587155963,0.17,0.045,0.665,0.295,2.533707865168539,0.6803543900570268,0,0.0105953784649492
21833,8,18,87,94,269,1083,0.925531914893617,0.2483841181902123,0.045,0.025,0.66,0.135,2.75,0.1869077254063991,0,0.0193896599833258
25723,7,139,242,722,16787,1082,0.335180055401662,15.51478743068392,0.05,0.02,0.855,0.255,2.5384615384615383,0.2191687352197311,0,0.0241463021963924
32613,15,51,182,490,8384,1092,0.3714285714285714,7.677655677655678,0.05,0.03,0.545,0.27,2.5673624288425048,0.1477635311413854,0,0.0146067379771133
46183,13,110,71,174,300,1078,0.4080459770114942,0.2782931354359926,0.04,0.025,0.22,0.105,2.8484210526315787,0.2089691897642864,0,0.0243650441544484
47203,3,25,259,485,4605,1073,0.534020618556701,4.291705498602051,0.095,0.005,0.5,0.125,2.915948275862069,0.2472556797710404,0,0.02990826739549
50263,4,117,130,150,3498,1087,0.8666666666666667,3.21803127874885,0.075,0.025,0.36,0.215,2.459165154264973,0.3679282253909059,0,0.0321812497088028
56733,8,0,672,780,6795,1080,0.8615384615384616,6.291666666666667,0.1269035532994923,0.0253807106598984,0.9086294416243654,0.4771573604060913,2.490808823529412,0.3496723357059843,0,0.0327624377559173
60663,12,158,2855,5413,21166,1075,0.5274339552928136,19.689302325581394,0.0412371134020618,0.0412371134020618,0.5927835051546392,0.2474226804123711,2.67920792079208,0.4432905934241562,0,0.0297203939301883
63093,7,11,133,160,549,1073,0.83125,0.5116495806150979,0.185,0.07,0.31,0.12,2.632295719844358,0.1982455801365269,0,0.0176836083712239
157763,6,0,262,325,2701,1060,0.8061538461538461,2.54811320754717,0.06,0.03,0.415,0.255,2.7848360655737703,0.2880441499395717,0,0.0149279258327479
198623,8,69,152,249,2871,1068,0.6104417670682731,2.688202247191011,0.165,0.035,0.565,0.155,2.46,0.1982455801365269,0,0.0244838270197623
304713,6,85,235,385,50356,1061,0.6103896103896104,47.460885956644674,0.1,0.045,0.73,0.265,2.642578125,0.2089691897642864,0,0.0294342860235233
451373,9,84,315,198,4694,1055,1.5909090909090908,4.449289099526067,0.005,0.005,0.77,0.13,2.915948275862069,0.2191687352197311,0,0.0273286649952019
627303,7,70,234,1845,5411,1038,0.1268292682926829,5.2129094412331405,0.165,0.055,0.52,0.335,2.738866396761133,0.1321637200910179,0,0.0151863730872533
638323,6,35,191,1014,11653,1044,0.1883629191321499,11.161877394636017,0.23,0.065,0.69,0.37,2.7333333333333334,0.1748361678529921,0,0.0229207896633482
639393,6,76,127,151,3116,1035,0.8410596026490066,3.010628019323672,0.155,0.065,0.465,0.185,2.647749510763209,0.2472556797710404,0,0.0282165527501127
642373,7,75,250,289,4238,1040,0.8650519031141869,4.075,0.265,0.03,0.385,0.175,2.543233082706767,0.2191687352197311,0,0.0267844691061497
647073,9,149,350,488,2458,1042,0.7172131147540983,2.3589251439539347,0.37,0.07,0.6,0.335,2.738866396761133,0.2559339434426655,0,0.0224816951857416
653843,4,26,58,202,3876,1045,0.2871287128712871,3.709090909090909,0.1122448979591836,0.0714285714285714,0.5459183673469388,0.2551020408163265,2.547495682210708,0.2289142781149546,0,0.011998418417074
659203,7,0,13,43,640,1044,0.3023255813953488,0.6130268199233716,0.185,0.025,0.81,0.055,2.558320373250389,0.0,0,0.0117022137296727
660183,8,0,41,66,808,1041,0.6212121212121212,0.7761767531219981,0.15,0.03,0.535,0.14,2.2768,0.1321637200910179,0,0.0148010522867655
665333,13,28,165,396,5245,1031,0.4166666666666667,5.08729388942774,0.275,0.065,0.265,0.165,2.652941176470588,0.1869077254063991,0,0.0219695098759461
666633,6,73,279,450,1900,1037,0.62,1.832208293153327,0.285,0.035,0.82,0.39,2.433453237410072,0.6440862997860244,0,0.0245026063244998
674433,12,105,35067,35122,24670,1028,0.9984340299527362,23.99805447470817,0.875,0.055,0.25,0.235,2.7839506172839505,2.0506682263770726,0,0.0718484438875127
678323,7,67,1001,885,8324,1035,1.1310734463276837,8.042512077294687,0.055,0.01,0.99,0.36,2.586998087954111,0.5489171555600374,0,0.0320496706747353
680873,9,101,321,506,5837,1028,0.6343873517786561,5.678015564202335,0.215,0.07,0.545,0.33,2.4825688073394496,0.2803615881095986,0,0.0253401521455822
702363,7,7,37,10,679,1026,3.7,0.6617933723196882,0.925,0.035,0.055,0.04,2.543233082706767,0.1144571390574773,0,0.0175077573684874
708623,7,41,101,128,2636,1036,0.7890625,2.5444015444015444,0.415,0.045,0.365,0.2,2.432142857142857,0.0934538627031995,0,0.027051275236543
709433,5,28,346,297,4619,1024,1.164983164983165,4.5107421875,0.09,0.035,0.37,0.215,2.7005988023952097,0.2191687352197311,0,0.0178635553566198
713093,8,35,75,64,1709,1026,1.171875,1.665692007797271,0.25,0.05,0.335,0.145,2.7005988023952097,0.0660818600455089,0,0.0239396931108246
716013,12,27,148,107,1821,1027,1.383177570093458,1.7731256085686466,0.04,0.025,0.31,0.06,2.627184466019417,0.2803615881095986,0,0.0284622970394196
720043,14,24,172,188,2995,1021,0.9148936170212766,2.933398628795299,0.365,0.02,0.21,0.115,2.641325536062378,0.0934538627031995,0,0.0206561720446724
727053,9,159,310,616,9006,1018,0.5032467532467533,8.846758349705304,0.29,0.06,0.72,0.355,3.040449438202247,0.3028251257220228,0,0.004944765551905
735513,4,22,76,221,1369,1031,0.3438914027149321,1.3278370514064015,0.195,0.02,0.455,0.12,2.577142857142857,0.1618668383655077,0,0.0122179970014008
738693,7,90,1,4721,20970,1019,0.0002118195297606,20.57899901864573,1.1436781609195403,0.0114942528735632,0.0,0.0,2.7610441767068274,0.0,0,0.0188845357346161
746493,9,0,0,0,121,1031,0.0,0.1173617846750727,0.9256198347107438,0.024793388429752,0.0082644628099173,0.0082644628099173,1.9888324873096448,0.0,0,0.0352651914116156
750963,3,0,60,56,192,1013,1.0714285714285714,0.1895360315893386,0.2741935483870967,0.1397849462365591,1.3279569892473118,0.6182795698924731,2.0359628770301623,0.1618668383655077,0,0.017478528874338
751443,3,24,106,1277,1058,1022,0.0830070477682067,1.0352250489236792,0.2590673575129533,0.1450777202072538,0.5958549222797928,0.2694300518134715,2.1884753901560625,0.1618668383655077,0,0.0056274630468112
755113,9,120,309,3663,12927,1018,0.0843570843570843,12.698428290766207,0.3316582914572864,0.0753768844221105,0.3919597989949748,0.2412060301507537,2.579737335834897,1.4142135623730951,0,0.0323960746918391
756206,11,0,29,9,38,1021,3.2222222222222223,0.0372184133202742,0.0789473684210526,0.0526315789473684,0.4736842105263157,0.2105263157894736,3.214032600992204,0.0660818600455089,0,0.031910306120638
758371,15,147,222,257,4051,1008,0.8638132295719845,4.018849206349207,0.345,0.03,0.47,0.27,2.6647286821705425,0.1144571390574773,0,0.0225583235995859
761223,13,46,425,598,2936,1019,0.7107023411371237,2.8812561334641806,0.745,0.04,0.295,0.175,3.008752735229759,0.1982455801365269,0,0.0149800444613321
761483,9,65,1347,1706,26073,1007,0.7895662368112544,25.89175769612711,0.0353535353535353,0.0252525252525252,0.8383838383838383,0.4646464646464646,2.919661733615222,0.5203290863276842,0,0.0333985562266548
766658,8,0,388,263,9326,1012,1.4752851711026616,9.215415019762846,0.1088082901554404,0.0310880829015544,0.9585492227979274,0.2487046632124352,2.811860940695297,0.498907102518326,0,0.0214588473712879
771528,6,47,152,231,7373,1006,0.658008658008658,7.329025844930418,0.25,0.075,0.39,0.18,2.5183150183150182,0.2089691897642864,0,0.0272941047495719
780308,6,11,168,1004,14697,1005,0.1673306772908366,14.623880597014926,0.2110552763819095,0.0552763819095477,0.4723618090452261,0.2311557788944723,2.984815618221258,0.3369526938665577,0,0.0311833918186291
781786,14,133,481,955,7358,1006,0.5036649214659686,7.314115308151093,0.17,0.055,1.05,0.56,2.6750972762645917,0.1869077254063991,0,0.0248010032966818
782482,3,24,252,3438,10974,1006,0.0732984293193717,10.90854870775348,0.02,0.01,1.01,0.35,3.150684931506849,0.3099513977959015,0,0.0159833966988322
784998,8,154,270,1544,17168,1005,0.1748704663212435,17.082587064676616,0.08,0.015,1.26,0.575,3.456140350877193,0.3237336767310155,0,0.0177993554009339
790949,7,33,360,258,1922,1009,1.3953488372093024,1.904856293359762,0.4271356783919598,0.0552763819095477,0.5326633165829145,0.2763819095477386,2.682170542635659,0.3496723357059843,0,0.0149949895649759
794785,4,37,9,78,164,1002,0.1153846153846153,0.1636726546906187,0.9390243902439024,0.024390243902439,0.024390243902439,0.024390243902439,2.8234086242299794,0.0,0,0.0525947427592717
803835,5,40,128,255,1657,1001,0.5019607843137255,1.6553446553446554,1.045,0.015,0.005,0.005,2.298919567827131,0.0,0,0.1216073144676446
805817,9,139,2248,2632,6427,991,0.8541033434650456,6.485368314833502,0.615,0.075,0.565,0.475,2.580223880597015,0.2382615347721177,0,0.0332845949131061
805922,12,7,207,187,2071,997,1.106951871657754,2.077231695085256,0.0854271356783919,0.0351758793969849,0.7085427135678392,0.2814070351758794,2.722772277227723,0.0934538627031995,0,0.0272619925146902
808664,4,0,17,32,172,994,0.53125,0.1730382293762575,0.9244186046511628,0.005813953488372,0.0,0.0,3.3052884615384617,0.1618668383655077,0,0.1390380914800337
808851,6,117,725,732,2283,985,0.9904371584699454,2.3177664974619288,0.56,0.08,0.375,0.175,2.722772277227723,0.2880441499395717,0,0.0320656936809463
810719,13,154,269,444,8353,984,0.6058558558558559,8.488821138211382,0.26,0.045,0.35,0.22,2.696078431372549,0.0934538627031995,0,0.0312843443224575
812035,12,70,392,615,4812,987,0.6373983739837399,4.875379939209727,0.085,0.015,0.69,0.27,2.614068441064638,0.3738154508127982,0,0.0222874187530068
813512,7,141,1975,3364,1537,997,0.5870986920332937,1.5416248746238717,0.315,0.035,1.17,0.88,2.5557620817843865,0.3853201470472625,0,0.0148983801420321
813669,8,158,143,623,5101,990,0.2295345104333868,5.152525252525253,0.605,0.04,0.485,0.225,2.701375245579568,0.1321637200910179,0,0.0230310796178212
813798,5,146,615,890,6110,990,0.6910112359550562,6.171717171717172,0.205,0.035,0.85,0.525,2.526605504587156,0.3369526938665577,0,0.0238627233476832
816986,6,41,61,101,1475,984,0.6039603960396039,1.4989837398373984,0.125,0.05,0.38,0.095,2.6240458015267176,0.0660818600455089,0,0.0287604947995739
818340,9,158,4915,14065,13836,994,0.3494489868467827,13.919517102615696,0.4797979797979798,0.106060606060606,0.5353535353535354,0.4545454545454545,2.685546875,0.6739053877331154,0,0.0215635520986327
820251,11,45,129,701,4168,985,0.1840228245363766,4.231472081218274,0.202020202020202,0.0656565656565656,0.494949494949495,0.2626262626262626,2.6803118908382064,0.1748361678529921,0,0.0224716856118806
820394,11,143,875,1596,12969,988,0.5482456140350878,13.12651821862348,0.2222222222222222,0.0707070707070707,1.383838383838384,0.6111111111111112,2.7335984095427435,0.5568156500335374,0,0.020743346261661
820694,8,75,1785,8103,29999,988,0.2202887819326175,30.36336032388664,0.075,0.035,1.335,0.595,2.4819494584837547,1.2345110235428878,0,0.0329812173345012
820972,9,74,357,401,2001,994,0.8902743142144638,2.01307847082495,0.13,0.05,0.725,0.385,2.6634429400386845,0.1618668383655077,0,0.0272710197611226
821340,14,56,419,380,1957,994,1.1026315789473684,1.9688128772635816,0.2864321608040201,0.0653266331658291,0.6733668341708543,0.3768844221105528,2.532228360957643,0.401960262217233,0,0.030856481772839
823162,9,78,1458,7211,37701,996,0.2021910969352378,37.85240963855421,0.1288659793814432,0.0206185567010309,0.963917525773196,0.4690721649484536,2.53690036900369,0.6993446714119687,0,0.0390571337751319
823806,11,28,153,136,916,980,1.125,0.9346938775510204,0.46,0.12,0.395,0.225,2.66990291262136,0.3237336767310155,0,0.0216738958941129
849591,8,116,246,8626,25275,992,0.0285184326454903,25.47883064516129,0.25,0.035,0.645,0.36,2.743027888446215,0.1748361678529921,0,0.0256464592518617
859571,14,18,533,1974,23508,982,0.2700101317122593,23.938900203665987,0.18,0.025,0.515,0.295,2.736111111111111,0.2643274401820359,0,0.018813922935067
864371,7,45,2057,1894,3287,992,1.0860612460401269,3.313508064516129,0.22,0.055,0.845,0.35,2.6595744680851063,0.7086490006438568,0,0.0382435226163212
913721,3,0,68,29,3162,987,2.3448275862068964,3.2036474164133737,0.07,0.02,0.165,0.05,2.6803118908382064,0.3738154508127982,0,0.0200372065970554
930581,6,33,803,857,1502,980,0.9369894982497082,1.5326530612244895,0.955,0.17,0.665,0.435,2.458928571428572,0.2643274401820359,0,0.0242681706247655
934071,9,40,1396,2281,4192,989,0.6120122753178431,4.238624873609707,0.385,0.05,0.455,0.32,2.7106299212598426,0.6608186004550898,0,0.0215359969362808
978381,10,128,189,168,4122,978,1.125,4.214723926380368,0.05,0.015,0.815,0.16,2.9633620689655173,0.1982455801365269,0,0.0298930017711292
987901,6,152,1759,1371,8718,993,1.2830051057622174,8.779456193353475,0.405,0.09,0.54,0.275,2.4564831261101245,0.2289142781149546,0,0.0334337077984917
988491,12,115,2234,3827,10665,987,0.5837470603605958,10.80547112462006,0.065,0.04,0.69,0.39,2.6290630975143405,0.5798659685519716,0,0.0265702607176864
1016461,11,34,369,479,3267,987,0.7703549060542797,3.310030395136778,0.086734693877551,0.0357142857142857,0.5561224489795918,0.1989795918367347,2.8401639344262297,0.401960262217233,0,0.0188924322781369
1028821,13,28,731,485,1920,989,1.5072164948453608,1.941354903943377,0.23,0.04,0.52,0.21,2.53690036900369,0.2191687352197311,0,0.0266741897085119
1035761,8,55,456,563,6532,979,0.8099467140319716,6.672114402451481,0.69,0.02,0.085,0.07,2.5969868173258,0.3619452538882463,0,0.0313467739541245
1039441,11,79,597,562,2910,976,1.0622775800711743,2.9815573770491803,0.68,0.05,0.455,0.34,2.519125683060109,0.9180385394008944,0,0.013198209348099
1053341,14,75,676,1590,16015,984,0.4251572327044025,16.275406504065042,0.215,0.035,0.93,0.405,2.75,0.3738154508127982,0,0.0344990055845167
1069651,8,0,70,186,3771,989,0.3763440860215054,3.812942366026289,0.1419753086419753,0.0617283950617283,0.9876543209876544,0.3518518518518518,3.076062639821029,0.1144571390574773,0,0.0182325118606419
1072341,10,34,1233,1507,13900,977,0.8181818181818182,14.227226202661209,0.0105263157894736,0.0105263157894736,0.2842105263157894,0.1473684210526315,2.5716911764705883,0.2382615347721177,0,0.0019970138111235
1095931,6,0,327,553,509,978,0.5913200723327305,0.5204498977505112,0.7,0.08,0.85,0.345,2.712031558185404,0.2089691897642864,0,0.0355110100631679
1097451,5,110,374,2722,9188,978,0.1373989713445995,9.394683026584866,0.05,0.025,0.805,0.415,2.6290630975143405,0.2089691897642864,0,0.0222889745656453
1101481,10,159,572,379,1548,977,1.5092348284960422,1.5844421699078812,0.3015075376884422,0.0452261306532663,0.5678391959798995,0.3065326633165829,2.6647286821705425,0.4282593998234223,0,0.0252205492717054
1114011,12,53,87,156,1626,989,0.5576923076923077,1.6440849342770476,0.05,0.025,0.315,0.14,2.487410071942446,0.1321637200910179,0,0.0304722832312702
1114231,4,21,751,1173,24898,976,0.6402387041773231,25.510245901639344,0.0753768844221105,0.0201005025125628,0.7638190954773869,0.321608040201005,2.695906432748538,1.2149002151415942,0,0.019657924739957
1121591,6,17,494,446,4204,980,1.1076233183856503,4.289795918367347,0.9343434343434344,0.0353535353535353,0.1313131313131313,0.0909090909090909,2.706692913385827,0.2880441499395717,0,0.0110343731376146
1144181,6,21,659,699,2960,986,0.9427753934191704,3.002028397565923,0.3487179487179487,0.1076923076923077,0.7692307692307693,0.5076923076923077,2.473967684021544,0.2382615347721177,0,0.0147102401261479
1145151,9,93,1164,583,1195,984,1.9965694682675812,1.214430894308943,0.51,0.04,0.345,0.22,2.5557620817843865,0.7298980008898892,0,0.0550681168253742
1157891,11,101,406,362,1072,976,1.1215469613259668,1.098360655737705,0.465,0.095,0.885,0.47,2.4379432624113475,0.4945113595420808,0,0.0227253184997566
1330201,15,85,356,2318,1974,984,0.1535806729939603,2.006097560975609,0.185929648241206,0.0703517587939698,0.9045226130653268,0.4120603015075377,2.685546875,0.3853201470472625,0,0.0296260622327036
1357191,10,112,220,1103,2603,971,0.199456029011786,2.6807415036045312,0.3,0.155,0.965,0.4,2.541589648798521,0.3304093002275449,0,0.0293224950232608
1387211,5,0,219,693,2995,979,0.316017316017316,3.059244126659857,0.545,0.025,0.375,0.24,2.66990291262136,0.2382615347721177,0,0.0220615013662844
1393571,8,160,435,364,1771,977,1.195054945054945,1.812691914022518,0.1218274111675127,0.0253807106598984,0.9137055837563453,0.3248730964467005,2.5605214152700184,0.2472556797710404,0,0.0201023342828741
1401261,8,52,406,1323,41436,987,0.3068783068783068,41.98176291793313,0.08,0.04,0.59,0.265,2.717391304347826,0.1618668383655077,0,0.0205900394813112
1421521,8,21,316,1041,1781,975,0.3035542747358309,1.8266666666666669,0.43,0.055,0.75,0.485,2.696078431372549,0.2191687352197311,0,0.0272668147785808
1456331,15,13,237,116,4475,974,2.043103448275862,4.594455852156058,0.145,0.04,0.735,0.31,2.5845864661654137,0.401960262217233,0,0.0157352457989655
1463931,6,12,37,53,721,983,0.6981132075471698,0.7334689725330621,0.06,0.02,0.42,0.085,2.726732673267327,0.1144571390574773,0,0.1213067892836577
1479681,7,20,153,859,962,971,0.1781140861466822,0.9907312049433572,0.17,0.055,1.015,0.62,2.5275735294117645,0.1477635311413854,0,0.0343464608802638
1501881,8,53,28883,31756,3941,983,0.9095289079229122,4.009155645981688,0.14,0.01,0.69,0.475,2.504553734061931,0.5983966933565787,0,0.026050354709051
1524641,5,95,1113,1074,17011,970,1.0363128491620113,17.537113402061856,0.245,0.07,0.9,0.52,2.573831775700935,0.4530344078240516,0,0.0138664473319754
1551941,8,32,127,133,678,982,0.9548872180451128,0.6904276985743381,0.24,0.05,0.545,0.28,3.4375,0.2880441499395717,0,0.0172558749263843
1565151,9,106,749,924,12489,970,0.8106060606060606,12.875257731958763,0.08,0.04,0.755,0.375,2.6750972762645917,0.4333277348199537,0,0.02342500533117
1580771,10,92,59,181,6114,973,0.3259668508287293,6.283658787255909,0.2,0.065,0.635,0.19,2.609108159392789,0.1477635311413854,0,0.0109091746727263
1590921,9,9,37,391,1473,972,0.0946291560102301,1.5154320987654322,0.035,0.015,0.78,0.19,3.002183406113537,0.0,0,0.0199944558224049
1643931,15,94,121,1002,22950,972,0.1207584830339321,23.61111111111111,0.075,0.03,0.855,0.35,2.864583333333333,0.2955270622827708,0,0.0257658529665432
1659921,11,26,107,200,7933,970,0.535,8.178350515463917,0.185,0.06,0.46,0.155,2.71011673151751,0.2472556797710404,0,0.012044286565416
1754641,15,39,138,12579,31597,968,0.0109706653947054,32.64152892561984,1.0,0.005,0.0,0.0,2.5183150183150182,0.0660818600455089,0,0.013632009776978
1765001,6,67,879,1179,16684,972,0.7455470737913485,17.16460905349794,0.29,0.07,0.615,0.44,2.486211901306241,0.4481889807273432,0,0.0015471540126162
1783541,11,121,274,359,4227,975,0.7632311977715878,4.335384615384616,0.15,0.06,0.605,0.285,3.1392694063926943,0.3028251257220228,0,0.0173278527336164
1784651,5,0,171,564,2664,979,0.3031914893617021,2.721144024514811,0.155,0.035,0.335,0.14,2.340751043115438,0.2289142781149546,0,0.0027027297555507
1834241,8,26,162,209,3985,971,0.7751196172248804,4.104016477857878,0.2385786802030456,0.0609137055837563,0.8426395939086294,0.2690355329949238,2.876569037656904,0.1477635311413854,0,0.0260554903705855
1916331,10,24,106,414,7051,975,0.2560386473429952,7.231794871794872,0.155,0.075,0.255,0.14,2.833333333333333,0.1144571390574773,0,0.0059744669467485
1917731,7,86,22332,20503,6924,977,1.089206457591572,7.087001023541453,1.0,0.005,0.0,0.0,2.658301158301158,4.483838031580733,0,0.0350561224312754
1919751,10,78,113,94,1917,966,1.202127659574468,1.984472049689441,0.04,0.025,0.4,0.195,2.75,0.2289142781149546,0,0.0140411162312573
1925191,7,100,306,334,1568,971,0.9161676646706588,1.614830072090628,0.59,0.085,0.445,0.255,2.61787072243346,0.2089691897642864,0,0.0172539767359836
1937751,10,29,642,1874,7391,971,0.3425827107790822,7.611740473738414,0.075,0.04,0.705,0.45,2.619047619047619,0.3099513977959015,0,0.0341589270846135
2020351,6,132,791,6477,8073,972,0.122124440327312,8.305555555555555,0.8786127167630058,0.1156069364161849,0.8265895953757225,0.6589595375722543,2.4537366548042705,0.3964911602730538,0,0.0222780900302272
2063921,8,111,314,1294,20130,973,0.2426584234930448,20.68859198355601,0.2010050251256281,0.0301507537688442,1.236180904522613,0.3768844221105528,2.583177570093458,0.5646036597263776,0,0.0328531024686771
2149371,7,12,37,51,1942,980,0.7254901960784313,1.9816326530612245,0.16,0.085,0.485,0.095,2.391041162227603,0.2803615881095986,0,0.006879389159466
2162791,6,160,253,2280,28758,964,0.1109649122807017,29.83195020746888,0.27,0.065,1.06,0.585,2.4909420289855078,0.3558617071070626,0,0.0148490042033792
2192201,9,75,204,8338,3348,964,0.0244662988726313,3.4730290456431536,0.1105527638190954,0.0150753768844221,0.2211055276381909,0.1809045226130653,2.5810055865921786,0.3169174675253912,0,0.0307085851840619
2204991,6,27,31,50,1013,968,0.62,1.046487603305785,0.16,0.04,0.495,0.055,2.9340425531914893,0.1144571390574773,0,0.0260109280343103
2212031,5,16,46,77,2055,972,0.5974025974025974,2.1141975308641974,0.085,0.045,0.415,0.13,2.894957983193277,0.0934538627031995,0,0.0307335626697552
2269011,5,24,104,94,656,972,1.1063829787234043,0.6748971193415638,0.4,0.075,0.385,0.165,2.4480796586059745,0.3369526938665577,0,0.0030920648744196
2276201,12,140,295,442,8721,973,0.667420814479638,8.963001027749229,0.1384615384615384,0.0717948717948717,0.8153846153846154,0.2871794871794871,2.6290630975143405,0.3853201470472625,0,0.0276101123362412
2300251,7,42,506,1041,5421,963,0.4860710854947166,5.629283489096573,0.3,0.07,0.6,0.39,2.599624060150376,0.401960262217233,0,0.0133397632114824
2304641,11,43,91,89,420,969,1.0224719101123596,0.4334365325077399,0.16,0.025,0.62,0.265,2.717391304347826,0.1321637200910179,0,0.0242699566052493
2394771,11,160,229,129,2380,963,1.7751937984496124,2.4714434060228454,0.085,0.035,0.67,0.21,2.73767258382643,0.4179383795285729,0,0.0373624612075562
2400461,8,0,35,52,330,971,0.6730769230769231,0.3398558187435633,0.215,0.05,0.255,0.125,2.685546875,0.0660818600455089,0,0.0331030027423563
2505051,10,44,90,81,214,968,1.1111111111111112,0.2210743801652892,0.26,0.075,0.12,0.105,2.509124087591241,0.272462488904917,0,0.02007321642748
2558991,12,155,1114,1929,11672,972,0.5775012960082945,12.008230452674898,0.245,0.04,0.795,0.465,2.690802348336595,0.2382615347721177,0,0.0206167943883368
2681441,8,83,467,834,12830,966,0.5599520383693045,13.281573498964804,0.25,0.045,0.525,0.275,2.713163064833006,0.3369526938665577,0,0.0235650939768968
2711581,8,36,399,496,5744,967,0.8044354838709677,5.940020682523268,0.11,0.035,0.41,0.24,2.575139146567718,0.1748361678529921,0,0.0404935230057971
2714811,9,40,7,131,9089,964,0.0534351145038167,9.428423236514522,0.02,0.005,0.54,0.05,2.503584229390681,0.0,0,0.0246925268258155
2728891,3,0,0,136,3210,966,0.0,3.3229813664596275,1.0,0.005,0.0,0.0,2.46415770609319,0.0,0,0.0127665040039145
2809821,7,107,1532,1568,4035,962,0.9770408163265306,4.194386694386695,0.62,0.25,0.81,0.595,2.457295373665481,0.5684576543626565,0,0.0139127150343175
2846581,5,104,263,260,10707,959,1.0115384615384615,11.16475495307612,0.37,0.035,1.05,0.325,2.6340996168582373,0.6440862997860244,0,0.037885114118228
2871341,12,28,76,83,2955,963,0.9156626506024096,3.068535825545171,0.1116751269035533,0.0406091370558375,0.3908629441624365,0.1725888324873096,2.6391554702495204,0.1144571390574773,0,0.0320674445034027
2889981,7,0,308,454,10846,963,0.6784140969162996,11.262720664589825,0.2908163265306122,0.0255102040816326,0.4336734693877551,0.2091836734693877,2.869022869022869,0.3304093002275449,0,0.0167103239333851
2899671,12,153,332,527,22150,962,0.6299810246679317,23.024948024948024,0.155,0.035,0.665,0.225,2.5182481751824817,0.4333277348199537,0,0.0181478775121145
2933131,12,49,149,1123,14585,960,0.132680320569902,15.192708333333334,0.955,0.06,0.385,0.22,2.115712545676005,0.0660818600455089,0,0.0328966886710634
