UserID,LengthOfScreenName,LengthOfDescriptionInUserProfile,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,Longevity,FollowRatio,TweetsPerDay,LinkAverage,UniqueLinkAverage,MentionAverage,UniqueMentionAverage,Compression_Ratio,FollowingChangeRate,label,Similarity
6301,8,132,3269,3071,861,1217,1.0644741126668835,0.7074774034511093,0.705,0.125,0.335,0.22,2.906113537117904,5.880914285927652,1,0.0256654862326596
10836,9,134,1949,793,226,1329,2.4577553593947035,0.1700526711813393,0.6565656565656566,0.185,0.2727272727272727,0.0656565656565656,3.4392764857881137,1.1765540684484217,1,0.0204030139400547
10997,12,158,1119,9644,38674,1272,0.1160306926586478,30.404088050314467,0.2690355329949238,0.065,0.5532994923857868,0.2538071065989847,2.6726907630522088,9.0,1,0.0298777835050135
633293,11,121,2174,6029,12718,1105,0.3605904793498092,11.50950226244344,0.32,0.085,0.445,0.25,2.6098039215686275,7.056849625544999,1,0.018902469538707
717883,6,70,7731,7029,873,1105,1.0998719590268886,0.7900452488687782,0.69,0.0452261306532663,0.105,0.025,2.630434782608696,3.1380187335407035,1,0.0548254089394026
763068,6,35,120,130,686,1261,0.9230769230769232,0.5440126883425852,0.4693877551020408,0.0301507537688442,0.1428571428571428,0.1122448979591836,2.5866666666666664,0.7863975156570492,1,0.0236421659452924
783705,8,68,1660,23977,23205,1186,0.0692330149726821,19.56576728499157,0.3181818181818182,0.035,0.8383838383838383,0.6515151515151515,2.824634655532359,1.936773529108855,1,0.0152050093325368
788352,14,106,1320,969,3528,1042,1.3622291021671826,3.385796545105566,0.3299492385786802,0.05,0.5888324873096447,0.1928934010152284,2.81875,3.231261059545406,1,0.0245438653984118
810011,13,59,11239,10537,2749,1060,1.0666223782860396,2.5933962264150945,0.97,0.0164835164835164,0.05,0.035,2.323630136986301,3.9879731858432006,1,0.0228441485988761
815299,10,120,3779,3920,1830,1137,0.964030612244898,1.6094986807387863,0.77,0.035,0.355,0.24,2.4853479853479854,2.719009580791631,1,0.0199675767997041
817045,5,63,12848,12933,2315,1035,0.993427665661486,2.236714975845411,0.99,0.01,0.01,0.01,2.647749510763209,3.4929748585475697,1,0.0109549351534043
